Date,FirstImpulse,ImpulseMFE,ImpulseMAE
2010-09-01,Up,32.48522828214254,7.530614717857588
2010-09-02,Up,14.694034982143421,6.336189017856668
2010-09-03,Up,7.382485492857086,14.816084507142932
2010-09-06,Down,2.6652895285715203,2.8843534714283123
2010-09-07,Up,3.6406497357138505,15.929142264285929
2010-09-08,Up,23.059182139285895,3.8127708607144086
2010-09-09,Down,9.679537096428703,7.2614769035712925
2010-09-10,Down,4.706513614285996,14.889270385714099
2010-09-13,Up,14.038949428571868,3.5095145714285536
2010-09-14,Up,19.7299780000003,1.913126999999804
2010-09-15,Down,2.3751074214283108,26.872332578571786
2010-09-16,Down,1.373753385713826,19.391928614285916
2010-09-17,Down,13.375854228571825,3.2951867714282344
2010-09-20,Up,31.045911400000023,3.7585416000001715
2010-09-21,Down,5.396497807143078,20.633723192856905
2010-09-22,Up,15.42330595714293,12.946710042857376
2010-09-23,Up,31.851541728571192,4.707758271428702
2010-09-24,Up,17.5071500928575,2.9660569071425016
2010-09-27,Down,8.929090300000098,10.081745699999829
2010-09-28,Down,38.1103910249999,7.223140975000206
2010-09-29,Up,5.500990535714209,14.387268464285626
2010-09-30,Up,9.047903974999826,43.59748702500019
2010-10-01,Down,27.119688042857433,7.392289957142566
2010-10-04,Up,3.171258235714504,37.77515676428584
2010-10-05,Up,29.362339753571632,3.979741246428148
2010-10-06,Down,26.15556786785737,2.214448132142479
2010-10-07,Down,18.158480928571407,7.579265071428836
2010-10-08,Down,11.450371860714313,26.2788251392858
2010-10-11,Up,5.261406046428874,13.749429953571052
2010-10-12,Down,14.415854364286133,31.50262563571414
2010-10-13,Up,10.705607485714154,3.040689514285532
2010-10-14,Down,11.686441075000403,10.83408692499961
2010-10-15,Down,13.896712089285757,25.294856910714316
2010-10-18,Down,3.214085035714561,14.04190496428555
2010-10-19,Down,12.570131385714376,26.32896361428584
2010-10-20,Up,22.055702710714286,10.9939032892853
2010-10-21,Down,28.31047726071438,15.853156739285623
2010-10-22,Up,12.42598328214308,6.877326717857159
2010-10-25,Up,12.249454482143392,5.5914835178568865
2010-10-26,Down,2.9236995214282615,31.58827947857162
2010-10-27,Up,14.389739946428563,11.055533053571253
2010-10-28,Down,22.327286449999974,5.165307550000307
2010-10-29,Up,3.8564841321426684,11.352184867856977
2010-11-01,Up,12.306904589286205,24.544868410714116
2010-11-02,Up,7.152043500000218,9.811471499999698
2010-11-03,Down,17.413716732143257,14.758467267856759
2010-11-04,Up,5.3470590250003625,11.908929974999864
2010-11-05,Down,2.83073422499956,11.500510775000294
2010-11-08,Down,1.7820045821426902,16.643882417857185
2010-11-09,Down,30.66385038214321,8.82019261785672
2010-11-10,Down,15.483385275000273,16.396323725000002
2010-11-11,Down,5.8662004785715,33.03289352142838
2010-11-12,Up,5.2091774428572535,52.993227557142745
2010-11-15,Up,0.13474800714266166,27.942793992857332
2010-11-16,Up,10.094545278571331,37.8712557214285
2010-11-17,Down,1.6639699071429277,23.196353092856953
2010-11-18,Up,25.432738275000247,1.4749067249995278
2010-11-19,Down,4.57095715000014,17.657096850000016
2010-11-22,Up,24.323423853571057,9.89608014642863
2010-11-23,Down,24.23254888571455,1.7976731142853168
2010-11-24,Up,26.698734210714065,1.086333789285618
2010-11-25,Up,3.584900403571737,2.264587596428555
2010-11-26,Down,0.12534586785750435,21.810233132142912
2010-11-29,Down,22.19671715357117,16.40990284642885
2010-11-30,Down,8.340743253571418,17.39700374642871
2010-12-01,Up,22.046301739285354,2.8140222607144096
2010-12-02,Up,19.622943224999744,4.067483775000255
2010-12-03,Up,14.640432099999543,3.4929799000001367
2010-12-06,Down,2.6615167214285975,10.207356278571297
2010-12-07,Down,24.91359579999971,2.871472200000426
2010-12-08,Down,10.457003628571783,10.308678371428414
2010-12-09,Down,16.05371097857187,4.4194970214284695
2010-12-10,Down,3.16593673571424,18.784566264285786
2010-12-13,Down,14.173367699999744,6.89911630000006
2010-12-14,Down,3.7140533428569142,14.431696657142766
2010-12-15,Up,11.198729332142648,20.99534266785713
2010-12-16,Up,16.838874328571364,11.257770671428261
2010-12-17,Down,1.0499493500001336,11.53500565000013
2010-12-20,Down,16.037599750000027,12.644391249999899
2010-12-21,Down,1.8687458071431138,10.423536192856773
2010-12-22,Up,0.9755535071431041,6.633954492856901
2010-12-23,Up,1.2888539821428822,11.296101017856927
2010-12-27,Down,16.0728083357144,15.243243664285728
2010-12-28,Down,12.7278270357142,0.44247496428579325
2010-12-29,Down,0.3370242785717892,7.5651567214281386
2010-12-30,Down,8.093714964285937,3.613220035714221
2010-12-31,Down,15.532667550000042,0.5643684500000745
2011-01-03,Up,31.617086907142948,2.9183720928572257
2011-01-04,Down,25.99148728214277,0.9344637178573976
2011-01-05,Up,27.03047726071418,2.5295347392857366
2011-01-06,Down,1.0902088785715023,12.08009312142849
2011-01-07,Down,29.960347053571695,4.867785946428285
2011-01-10,Down,2.5441675214287898,25.25980347857103
